m,x,y,z,vx,vy,vz
1.9884754159566474e+30,0.0,0.0,0.0,0.0,0.0,0.0
3.301109449002709e+23,53845228981.94071,-8336411131.398741,-5618026911.526086,-1975.9000850429586,50314.98742233848,4294.006004069357
4.867466257521635e+24,-74819076973.01857,-78178757540.31764,3239017929.1908274,25055.532725825386,-24378.68789399401,-1781.2369781425425
5.972365262433514e+24,-80673651569.033,123180894403.54268,-10314654.843691826,-25394.048132254637,-16437.001484012064,0.6846259209110241
7.346031390779777e+22,-80517228374.84773,123553790057.18742,-12910106.783056289,-26275.957036867487,-16044.22705233068,87.13043438688695
6.417120205436417e+23,-88193364785.4609,225245075295.39468,6882106318.374728,-21646.584648559492,-6771.463664851069,388.17481201747506
1.8981871943454438e+27,-805184767183.9039,108264945573.45813,17565050758.87381,-1900.7820078831285,-12357.300967127427,93.95927574975266
5.683361026390224e+26,-1420413905452.166,-146700119260.54776,59098740497.324615,469.10006828879216,-9638.114761601379,149.06393657895967
8.681273407389496e+25,-1425714721849.2812,2387301708697.3384,27304860936.029987,-5900.597495980696,-3824.8095649321995,62.321594391990246
1.0241261669693524e+26,3772216201866.8115,2374541673872.2334,-135994918756.56139,-2931.1567577295023,4617.897489605652,-28.10758110732531
0.0,102640235359.73352,-266009509673.91492,6052668419.993047,12019.635018787076,20488.86722611065,746.6133857996626
0.0,80609009988.10326,-302124695387.58453,4681644195.41853,12778.713314334023,17914.080231418637,790.3193571159287
0.0,74825214448.3643,-310599769318.67365,4321016675.565337,12910.425431952097,17319.61101531613,797.6096120441663
0.0,-37892695555.532295,-430347044197.0757,-2524366897.316814,13188.932843376519,9229.50032484066,783.3174833381073
0.0,26287608908.98824,-370697908634.1967,1316535811.322989,13400.401561162213,13204.410358569754,817.431968787254
0.0,143860627891.06644,279542104.2660775,8509558978.1349945,-11024.968544295416,36664.17650091209,-625.9828834928841
0.0,80561637827.43018,-302095000311.6457,4682676122.459555,12782.088773630305,17914.605419590855,791.0946623774161
0.0,42161469171.712585,-352814645920.79254,2293247250.0314097,13333.302918687745,14411.310756292154,817.2458569337062
0.0,94836902794.54903,-279608880916.9354,5568771342.663155,12344.325101498072,19510.976375519058,765.5164059563652
0.0,-100322847462.62666,-473161774399.84393,-5071665297.425652,12611.637648163201,6281.68632250862,610.1415836391735
0.0,73780239133.71687,-312094927853.0513,4255932712.536984,12931.904617304868,17215.13948933555,798.7825952480225
0.0,143633316044.18814,-165018656355.8162,8577799884.7294,7711.710007966618,27971.362976779645,487.6709127838161
0.0,64708507937.933334,-324649132404.6306,3691846059.3306017,13092.063739410227,16342.795895866739,807.314456887693
0.0,70067236059.262,-317323516792.49915,4024861479.222222,13002.94834898103,16850.772394761756,802.6149948396084
0.0,35935184331.31302,-360007750344.2945,1909168236.7613025,13367.844553129271,13924.39046680224,817.8890419807616
0.0,93919859679.25139,-281143262910.09766,5511788122.584948,12377.897953722415,19401.33034315392,767.4561618766083
0.0,31581678264.589314,-364897808196.83075,1641325766.5601783,13385.500681587342,13594.534725510333,817.893174905072
0.0,84104304653.81125,-296828661650.327,4899854388.148184,12687.662091156173,18287.459235269456,785.1967462219523
0.0,63118624807.62454,-326775021973.0216,3593151445.640277,13115.69312301953,16195.927235917497,808.5332861709034
0.0,75970769785.36238,-308845350672.3216,4395092918.834848,12888.474543757797,17440.623359569545,796.7992745484221
0.0,73828929311.36867,-312025577785.83795,4258963916.049965,12930.916893257174,17219.983768333055,798.7287183265765
0.0,86553036000.13953,-293033466846.2614,5052746909.4269905,12618.226891075277,18555.86983332491,781.2536454859086
0.0,67013554133.66046,-321528839866.5835,3835026127.202774,13055.576059883007,16558.80504749824,805.4056765259039
0.0,85293889284.03725,-294994026903.6896,4974130534.691613,12654.534024048911,18417.12567433073,783.318826800568
0.0,73395008649.67258,-312643537168.86224,4231946702.8305526,12939.652490975292,17176.838428711042,799.2035731426736
0.0,88465076107.20528,-290018121416.2789,5172072200.87343,12560.561941680791,18769.61422779714,777.9609530712833
0.0,37552222709.7464,-358162671611.3546,2008810803.7983346,13359.961745025978,14049.08855588171,817.7974354917026
