t,p1,p2,x1,y1,z1,vx1,vy1,vz1,x2,y2,z2,vx2,vy2,vz2,d,e,q,tp,node,peri,i
240933197.1036712,3,317,-2088360597.6153193,147134058138.8645,-10349033.739227667,-30266.453483546073,-525.6994232096313,-0.3785080550653708,-2089813116.5690155,147127216683.5277,-7518543.244041875,-36961.29287593142,14508.78693150915,-3235.069235610712,0.9857891979297478,0.6615623024724208,0.8514977990969381,2460636.9177144417,271.3656076221791,134.36130057458212,3.4082260096820898
240933197.1036712,3,605,-2088360597.6153193,147134058138.8645,-10349033.739227667,-30266.453483546073,-525.6994232096313,-0.3785080550653708,-2093817245.621706,147129291276.0819,-7979882.645903029,-35769.384746399,14911.189226294615,-3412.276857165267,0.9959867963901327,0.6615621081358339,0.8514978684324757,2460636.91771883,271.3656196978673,134.361298678312,3.408226072691564
240933197.1036712,3,211,-2088360597.6153193,147134058138.8645,-10349033.739227667,-30266.453483546073,-525.6994232096313,-0.3785080550653708,-2089850858.6374836,147127241461.27234,-7522890.019617036,-36952.56040196704,14519.489484389444,-3239.5908569000717,0.9836053977154762,0.6615622691682863,0.8514978777941394,2460636.917719325,271.36561132676576,134.36130836784483,3.4082248254895844
240933197.1036712,3,769,-2088360597.6153193,147134058138.8645,-10349033.739227667,-30266.453483546073,-525.6994232096313,-0.3785080550653708,-2092315723.1324167,147128521803.08554,-7811655.25044506,-36233.82269518323,14910.082686548672,-3400.152034513826,0.9487752680081428,0.6615622041020611,0.8514977890971954,2460636.9177096845,271.3656101187018,134.3612930188064,3.40822727783063
240933197.1036712,3,752,-2088360597.6153193,147134058138.8645,-10349033.739227667,-30266.453483546073,-525.6994232096313,-0.3785080550653708,-2090861278.9635477,147127770742.10214,-7642470.4718005285,-36686.238414170904,14731.760331892496,-3323.3932724831784,0.9521690992772827,0.661562221638225,0.851497894841214,2460636.9177163932,271.3656060607624,134.36131245878346,3.408224645085662
240933197.1036712,3,842,-2088360597.6153193,147134058138.8645,-10349033.739227667,-30266.453483546073,-525.6994232096313,-0.3785080550653708,-2091692540.549819,147128200986.7366,-7740019.005261101,-36433.2039174498,14854.853347709768,-3374.7214210935163,0.944110195033752,0.661562206522926,0.8514978473184911,2460636.9177140705,271.36560528382824,134.36130705708425,3.4082252652212084
240933197.1036712,3,90,-2088360597.6153193,147134058138.8645,-10349033.739227667,-30266.453483546073,-525.6994232096313,-0.3785080550653708,-2090063307.598341,147127355871.08475,-7548891.004923679,-36901.298252049106,14569.793285785048,-3259.079849554799,0.9747609591917293,0.6615622633191721,0.8514978722263417,2460636.917713382,271.36560460094813,134.36130854554878,3.4082262409078123
240933197.1036712,3,503,-2088360597.6153193,147134058138.8645,-10349033.739227667,-30266.453483546073,-525.6994232096313,-0.3785080550653708,-2093758462.702445,147129273975.9523,-7977195.160690032,-35782.87358487985,14919.259591562255,-3415.0367278583994,0.9920361681569553,0.6615620946845981,0.8514979097090497,2460636.9177109357,271.3656002218214,134.36131483973998,3.408224777622175
240933238.13589826,3,302,-2089602497.5573556,147134036563.0975,-10349049.271649469,-30266.451039641215,-525.9503915581602,-0.37857596839881313,-2090767743.2336946,147127528105.6086,-7585792.231430239,-37042.70973488044,14643.944621576167,-3296.5750756657562,0.9362881707642522,0.661562295500599,0.8514978727072198,2460636.917717117,271.36561234346783,134.3613044239504,3.4082265361526707
240933238.13589826,3,994,-2089602497.5573556,147134036563.0975,-10349049.271649469,-30266.451039641215,-525.9503915581602,-0.37857596839881313,-2090544257.1012032,147127410642.30136,-7559354.875158702,-37095.91851936144,14582.475170861078,-3272.3906184011726,0.9473330879417908,0.6615623017833906,0.8514978791102702,2460636.9177182172,271.3656097391748,134.36130881730065,3.4082261396340447
240933238.13589826,3,162,-2089602497.5573556,147134036563.0975,-10349049.271649469,-30266.451039641215,-525.9503915581602,-0.37857596839881313,-2090407503.909022,147127343819.47522,-7545251.585165229,-37126.95246485122,14546.467365919341,-3258.146114052193,0.9538876112803488,0.6615623142448311,0.8514978630372648,2460636.9177096398,271.3655955590693,134.36131417743616,3.4082247627989624
240933238.13589826,3,430,-2089602497.5573556,147134036563.0975,-10349049.271649469,-30266.451039641215,-525.9503915581602,-0.37857596839881313,-2095474099.8393104,147130009063.04837,-8145468.967955326,-35495.60408182154,15063.965347296156,-3494.898153483358,0.9738132584430408,0.6615620959191432,0.8514978787624243,2460636.9177143076,271.3656025665978,134.36131292814278,3.4082238335479387
240933238.13589826,3,507,-2089602497.5573556,147134036563.0975,-10349049.271649469,-30266.451039641215,-525.9503915581602,-0.37857596839881313,-2090451551.0640593,147127359354.0415,-7548263.790023244,-37116.7555127737,14555.498036402512,-3261.688463079872,0.952529046419221,0.6615623313024054,0.8514978155158123,2460636.917712526,271.36560797958896,134.36129956378102,3.4082274232387553
240933238.13589826,3,203,-2089602497.5573556,147134036563.0975,-10349049.271649469,-30266.451039641215,-525.9503915581602,-0.37857596839881313,-2090648267.380452,147127464596.52493,-7572683.488672354,-37071.59643597161,14611.259772149011,-3283.330672936774,0.9420969989819502,0.6615623130878907,0.8514978412845006,2460636.9177133446,271.365602554575,134.36130821034644,3.408226175185295
240933276.3124108,3,83,-2090757965.0613394,147134016479.68866,-10349063.725565698,-30266.448763959874,-526.1838933807838,-0.37863914897166984,-2090348290.9745424,147127117258.53433,-7490496.624299993,-37393.426163539574,14349.473144945568,-3191.015081356339,0.9771928594089535,0.6615623756884103,0.8514978533160726,2460636.9177207793,271.3656071309088,134.3613113088085,3.408225407502758
